name,skillUri
candidate_0,javascript
candidate_0,solidity
candidate_0,sql
candidate_0,rust
candidate_0,c#
candidate_0,react
candidate_0,java
candidate_0,git
candidate_0,node
candidate_0,rest
candidate_0,blockchain
candidate_0,mongodb
candidate_0,r
candidate_0,angular
candidate_0,ci/cd
candidate_0,gitlab
candidate_1,r
candidate_2,rest
candidate_2,api
candidate_2,r
candidate_3,sql
candidate_3,postgresql
candidate_3,docker
candidate_3,java
candidate_3,git
candidate_3,rest
candidate_3,r
candidate_3,spring
candidate_4,r
candidate_5,scala
candidate_5,r
candidate_6,linux
candidate_6,r
candidate_7,api
candidate_7,javascript
candidate_7,sql
candidate_7,c#
candidate_7,react
candidate_7,java
candidate_7,jira
candidate_7,rest
candidate_7,node
candidate_7,mongodb
candidate_7,r
candidate_8,unity
candidate_8,r
candidate_8,spark
candidate_8,unreal
candidate_9,unity
candidate_9,r
candidate_10,r
candidate_11,rest
candidate_11,r
candidate_12,r
candidate_13,r
candidate_14,r
candidate_14,git
candidate_15,r
candidate_15,git
candidate_16,r
candidate_17,r
candidate_18,rest
candidate_18,r
candidate_19,r
candidate_20,r
candidate_21,r
candidate_22,r
candidate_23,r
candidate_24,r
candidate_25,rest
candidate_25,r
candidate_25,git
candidate_26,r
candidate_26,git
candidate_27,r
candidate_28,r
candidate_28,git
candidate_29,unity
candidate_29,rest
candidate_29,r
candidate_30,unity
candidate_30,r
candidate_31,r
candidate_32,jira
candidate_32,unity
candidate_32,r
candidate_32,git
candidate_33,ios
candidate_33,rest
candidate_33,r
candidate_33,android
candidate_33,unity
candidate_34,r
candidate_35,r
candidate_35,git
candidate_36,unity
candidate_36,r
candidate_36,git
candidate_37,r
candidate_38,rest
candidate_38,r
candidate_39,r
candidate_40,r
candidate_41,r
candidate_42,unity
candidate_42,r
candidate_42,git
candidate_43,r
candidate_44,unreal
candidate_44,git
candidate_44,r
candidate_44,linux
candidate_44,unity
candidate_45,r
candidate_46,r
candidate_46,git
candidate_47,express
candidate_47,r
candidate_48,r
candidate_48,git
candidate_49,r
candidate_50,unity
candidate_50,r
candidate_51,rest
candidate_51,r
candidate_52,r
candidate_52,git
candidate_53,ios
candidate_53,r
candidate_53,git
candidate_54,unity
candidate_54,rest
candidate_54,r
candidate_54,git
candidate_55,rest
candidate_55,r
candidate_56,r
candidate_56,git
candidate_57,r
candidate_58,r
candidate_59,unity
candidate_59,spring
candidate_59,r
candidate_60,r
candidate_61,r
candidate_62,rest
candidate_62,r
candidate_63,r
candidate_64,r
candidate_65,unity
candidate_65,rest
candidate_65,r
candidate_66,r
candidate_67,rest
candidate_67,r
candidate_68,r
candidate_69,r
candidate_70,r
candidate_71,r
candidate_72,r
candidate_73,r
candidate_74,r
candidate_75,r
candidate_75,git
candidate_76,r
candidate_77,rest
candidate_77,r
candidate_78,r
candidate_79,unity
candidate_79,rest
candidate_79,r
candidate_79,git
candidate_80,r
candidate_81,rest
candidate_81,r
candidate_82,r
candidate_83,r
candidate_84,r
candidate_84,git
candidate_85,unity
candidate_85,express
candidate_85,r
candidate_86,ios
candidate_86,r
candidate_87,rest
candidate_87,r
candidate_88,r
candidate_89,rest
candidate_89,r
candidate_90,rest
candidate_90,r
candidate_91,rust
candidate_91,api
candidate_91,r
candidate_92,git
candidate_92,jira
candidate_92,rest
candidate_92,r
candidate_92,unity
candidate_93,r
candidate_94,r
candidate_95,unity
candidate_95,r
candidate_96,r
candidate_97,rest
candidate_97,r
candidate_98,r
candidate_99,r
candidate_100,r
candidate_101,unity
candidate_101,r
candidate_102,ios
candidate_102,react
candidate_102,r
candidate_102,android
candidate_102,unity
candidate_103,unity
candidate_103,r
candidate_104,r
candidate_104,git
candidate_105,express
candidate_105,r
candidate_106,r
candidate_107,rest
candidate_107,r
candidate_108,r
candidate_109,r
candidate_110,r
candidate_111,r
candidate_112,r
candidate_113,r
candidate_114,r
candidate_115,unity
candidate_115,r
candidate_116,r
candidate_117,r
candidate_118,r
candidate_119,ios
candidate_119,r
candidate_120,api
candidate_120,r
candidate_121,unity
candidate_121,r
candidate_122,r
candidate_123,r
candidate_124,r
candidate_125,r
candidate_126,unity
candidate_126,rest
candidate_126,r
candidate_127,ios
candidate_127,rest
candidate_127,r
candidate_127,git
candidate_128,r
candidate_129,express
candidate_129,r
candidate_130,ruby
candidate_130,r
candidate_131,r
candidate_132,rest
candidate_132,r
candidate_133,r
candidate_134,r
candidate_135,r
candidate_136,rest
candidate_136,r
candidate_137,unity
candidate_137,r
candidate_138,r
candidate_139,r
candidate_140,r
candidate_141,rest
candidate_141,r
candidate_141,git
candidate_142,rest
candidate_142,r
candidate_142,unreal
candidate_143,r
candidate_144,r
candidate_145,r
candidate_146,jira
candidate_146,rest
candidate_146,scrum
candidate_146,r
candidate_147,r
candidate_148,unity
candidate_148,express
candidate_148,r
candidate_149,r
candidate_150,r
candidate_151,r
candidate_152,rest
candidate_152,r
candidate_153,unity
candidate_153,rest
candidate_153,r
candidate_154,r
candidate_155,unity
candidate_155,r
candidate_156,r
candidate_157,unity
candidate_157,r
candidate_158,r
candidate_159,r
candidate_160,r
candidate_161,r
candidate_162,ios
candidate_162,android
candidate_162,r
candidate_162,git
candidate_163,r
candidate_164,rest
candidate_164,r
candidate_165,r
candidate_166,r
candidate_167,r
candidate_168,r
candidate_169,r
candidate_170,r
candidate_171,rest
candidate_171,r
candidate_172,r
candidate_173,r
candidate_174,r
candidate_175,r
candidate_176,rest
candidate_176,r
candidate_177,unity
candidate_177,r
candidate_178,r
candidate_179,r
candidate_180,r
candidate_181,jira
candidate_181,r
candidate_182,rest
candidate_182,r
candidate_182,git
candidate_183,r
candidate_184,r
candidate_185,r
candidate_186,rest
candidate_186,r
candidate_186,git
candidate_187,jira
candidate_187,scrum
candidate_187,r
candidate_188,r
candidate_189,r
candidate_189,git
candidate_190,rest
candidate_190,r
candidate_191,r
candidate_192,ios
candidate_192,r
candidate_193,r
candidate_194,r
candidate_195,r
candidate_196,unity
candidate_196,r
candidate_197,r
candidate_198,r
candidate_199,r
candidate_199,unreal
candidate_200,r
candidate_201,r
candidate_201,git
candidate_202,rest
candidate_202,r
candidate_203,rest
candidate_203,r
candidate_204,r
candidate_205,r
candidate_206,r
candidate_207,r
candidate_207,git
candidate_208,r
candidate_209,r
candidate_210,r
candidate_211,r
candidate_212,r
candidate_213,r
candidate_214,r
candidate_215,unity
candidate_215,r
candidate_216,unity
candidate_216,rest
candidate_216,r
candidate_217,r
candidate_218,ios
candidate_218,r
candidate_219,r
candidate_220,r
candidate_221,r
candidate_221,spark
candidate_222,ios
candidate_222,unity
candidate_222,r
candidate_223,r
candidate_223,git
candidate_224,jira
candidate_224,r
candidate_225,r
candidate_226,rest
candidate_226,r
candidate_227,r
candidate_228,r
candidate_228,git
candidate_229,r
candidate_230,ios
candidate_230,r
candidate_231,r
candidate_232,rest
candidate_232,r
candidate_232,git
candidate_233,r
candidate_233,git
candidate_234,r
candidate_235,r
candidate_235,git
candidate_236,r
candidate_236,git
candidate_237,r
candidate_238,r
candidate_239,r
candidate_239,git
candidate_240,r
candidate_241,unity
candidate_241,rest
candidate_241,r
candidate_241,git
candidate_242,r
candidate_243,rest
candidate_243,api
candidate_243,r
candidate_243,git
candidate_244,r
candidate_245,r
candidate_245,git
