zip_code,latitude,longitude
34000,41.0082,28.9784
110001,28.6139,77.209
1010,48.2082,16.3738
11120,59.3293,18.0686
D01,53.3498,-6.2603
100000,39.9042,116.4074
C1000,-34.6037,-58.3816
11511,30.0444,31.2357
400001,19.076,72.8777
00-001,52.2297,21.0122
101,64.1466,-21.9426
C1000,-34.6037,-58.3816
08001,41.3851,2.1734
101,64.1466,-21.9426
1000,38.7223,-9.1393
00-001,52.2297,21.0122
C1000,-34.6037,-58.3816
00000,25.2048,55.2708
D01,53.3498,-6.2603
3000,-37.8136,144.9631
01000-000,-23.5505,-46.6333
EH1,55.9533,-3.1883
1051,47.4979,19.0402
11000,50.0755,14.4378
2000,-33.8688,151.2093
01000,19.4326,-99.1332
00100,60.1699,24.9384
10115,52.52,13.405
530-0001,34.6937,135.5023
10115,52.52,13.405
D01,53.3498,-6.2603
04524,37.5665,126.978
00100,41.9028,12.4964
600001,13.0827,80.2707
3000,-37.8136,144.9631
110001,28.6139,77.209
00100,60.1699,24.9384
2000,-33.8688,151.2093
01000,19.4326,-99.1332
90001,34.0522,-118.2437
75001,48.8566,2.3522
1051,47.4979,19.0402
200000,31.2304,121.4737
08001,41.3851,2.1734
1000,50.8503,4.3517
11511,30.0444,31.2357
V5K,49.2827,-123.1207
20000-000,-22.9068,-43.1729
110001,28.6139,77.209
200000,31.2304,121.4737
1000,55.6761,12.5683
400001,19.076,72.8777
11120,59.3293,18.0686
75001,48.8566,2.3522
C1000,-34.6037,-58.3816
101,64.1466,-21.9426
8320000,-33.4489,-70.6693
560001,12.9716,77.5946
EH1,55.9533,-3.1883
28001,40.4168,-3.7038
10001,40.7128,-74.006
EH1,55.9533,-3.1883
04524,37.5665,126.978
10001,40.7128,-74.006
SW1A1AA,51.5074,-0.1278
11120,59.3293,18.0686
01000-000,-23.5505,-46.6333
V5K,49.2827,-123.1207
D01,53.3498,-6.2603
1000,55.6761,12.5683
11120,59.3293,18.0686
1000,55.6761,12.5683
00-001,52.2297,21.0122
100000,39.9042,116.4074
530-0001,34.6937,135.5023
00-001,52.2297,21.0122
10115,52.52,13.405
10115,52.52,13.405
560001,12.9716,77.5946
8320000,-33.4489,-70.6693
3000,-37.8136,144.9631
EH1,55.9533,-3.1883
34000,41.0082,28.9784
01000-000,-23.5505,-46.6333
SW1A1AA,51.5074,-0.1278
04524,37.5665,126.978
20000-000,-22.9068,-43.1729
2000,-26.2041,28.0473
1000,50.8503,4.3517
11000,50.0755,14.4378
M5H,43.6532,-79.3832
1010,48.2082,16.3738
2000,-26.2041,28.0473
75001,48.8566,2.3522
11511,30.0444,31.2357
00100,60.1699,24.9384
530-0001,34.6937,135.5023
100000,39.9042,116.4074
00100,60.1699,24.9384
28001,40.4168,-3.7038
