broaderUri,conceptUri,preferredLabel_child,preferredLabel_parent,altLabels_child,altLabels_parent
programming,javascript,javascript,programming,,
web3,solidity,solidity,web3,,
database,sql,sql,database,,
programming,rust,rust,programming,,
programming,c#,c#,programming,,
frontend,react,react,frontend,,
programming,java,java,programming,,
backend,node,node,backend,,
web3,blockchain,blockchain,web3,,
database,mongodb,mongodb,database,,
frontend,angular,angular,frontend,,
devops,ci/cd,ci/cd,devops,,
database,postgresql,postgresql,database,,
devops,docker,docker,devops,,
backend,spring,spring,backend,,
programming,ruby,ruby,programming,,
cloud,aws,aws,cloud,,
programming,c++,c++,programming,,
programming,python,python,programming,,
programming,php,php,programming,,
programming,typescript,typescript,programming,,
ml,machine learning,machine learning,ml,,
ml,computer vision,computer vision,ml,,
frontend,vue,vue,frontend,,
backend,django,django,backend,,
database,redis,redis,database,,
ml,nlp,nlp,ml,,
ml,deep learning,deep learning,ml,,
ml,pytorch,pytorch,ml,,
devops,kubernetes,kubernetes,devops,,
backend,flask,flask,backend,,
programming,golang,golang,programming,,
ml,scikit-learn,scikit-learn,ml,,
ml,tensorflow,tensorflow,ml,,
