title,dateAdded,salary,owner,categories,employmentType,customText6
job_0,27/10/2023,135000.0,MyCointainer,designer,contract,senior
job_1,09/11/2023,,TechScout.tech,designer,temporary,principal
job_2,24/12/2023,135000.0,Innoteka,fullstack,freelance,senior
job_3,06/12/2023,40000.0,FirstFive,backend,freelance,lead
job_4,26/11/2023,40000.0,MimirB2B,product_manager,contract,lead
job_5,22/11/2023,80000.0,Argument,data_scientist,permanent,lead
job_6,19/11/2023,40000.0,Argument,qa_engineer,permanent,principal
job_7,25/10/2023,40000.0,Argument,backend,permanent,mid
job_8,01/11/2023,40000.0,Argument,backend,freelance,junior
job_9,25/11/2023,105000.0,Argument,data_scientist,temporary,entry
job_10,17/12/2023,135000.0,Argument,software_engineer,permanent,entry
job_11,01/11/2023,135000.0,Argument,fullstack,freelance,lead
job_12,21/11/2023,40000.0,Argument,backend,temporary,junior
job_13,06/12/2023,135000.0,Argument,backend,contract,junior
job_14,01/11/2023,,Argument,product_manager,temporary,lead
job_15,15/11/2023,60000.0,Argument,software_engineer,temporary,senior
job_16,05/11/2023,135000.0,Argument,software_engineer,contract,principal
job_17,23/10/2023,105000.0,Exadel,product_manager,contract,principal
job_18,04/10/2023,60000.0,Perfectial,frontend,temporary,lead
job_19,13/12/2023,80000.0,PLATMA,frontend,permanent,mid
job_20,12/10/2023,,N-iX,ml_engineer,freelance,principal
job_21,16/12/2023,40000.0,iDeals Solutions,backend,freelance,mid
job_22,10/11/2023,105000.0,SII UKRAINE,qa_engineer,contract,entry
job_23,25/11/2023,105000.0,Art2Hire,software_engineer,permanent,junior
job_24,18/11/2023,,CHI Software,qa_engineer,temporary,principal
job_25,24/12/2023,135000.0,EvaCodes,backend,contract,junior
job_26,06/10/2023,40000.0,MeekoTeams,ml_engineer,temporary,lead
job_27,09/12/2023,105000.0,Data Virtuality,product_manager,freelance,entry
job_28,19/10/2023,40000.0,Wildix,devops,contract,entry
job_29,11/10/2023,40000.0,FluentPro,devops,temporary,lead
job_30,01/11/2023,105000.0,Viseven,qa_engineer,freelance,mid
job_31,03/11/2023,80000.0,Edsson Ukraine LLC,frontend,contract,mid
job_32,28/11/2023,80000.0,GLOBRECS | Global Recruitment Solutions,designer,freelance,junior
job_33,20/11/2023,80000.0,Freelance,software_engineer,contract,principal
job_34,20/11/2023,105000.0,Che IT Group,fullstack,permanent,entry
job_35,13/10/2023,,AOG.jobs,fullstack,freelance,entry
job_36,10/10/2023,135000.0,Argument,data_scientist,permanent,senior
job_37,05/11/2023,60000.0,Argument,designer,contract,senior
job_38,23/12/2023,,Argument,devops,permanent,lead
job_39,16/11/2023,105000.0,Argument,backend,permanent,mid
job_40,25/11/2023,40000.0,Argument,frontend,freelance,senior
job_41,31/12/2023,135000.0,Argument,frontend,freelance,mid
job_42,08/10/2023,105000.0,Argument,software_engineer,freelance,entry
job_43,10/10/2023,105000.0,Argument,designer,contract,entry
job_44,26/11/2023,60000.0,Argument,fullstack,contract,lead
job_45,05/10/2023,40000.0,Argument,qa_engineer,temporary,senior
job_46,30/11/2023,60000.0,Argument,software_engineer,contract,junior
job_47,21/12/2023,40000.0,Argument,devops,permanent,principal
job_48,23/11/2023,40000.0,Argument,qa_engineer,contract,entry
job_49,15/11/2023,,Argument,product_manager,permanent,principal
job_50,23/11/2023,40000.0,Argument,ml_engineer,contract,lead
job_51,09/10/2023,60000.0,Argument,qa_engineer,temporary,lead
job_52,30/12/2023,105000.0,Argument,frontend,contract,lead
job_53,02/11/2023,60000.0,Argument,frontend,freelance,lead
job_54,01/12/2023,,Argument,ml_engineer,temporary,principal
job_55,04/12/2023,40000.0,Argument,fullstack,permanent,lead
job_56,18/11/2023,,Argument,fullstack,temporary,lead
job_57,14/12/2023,105000.0,Argument,fullstack,contract,entry
job_58,19/11/2023,,Argument,product_manager,temporary,junior
job_59,17/12/2023,60000.0,Argument,frontend,permanent,lead
job_60,29/11/2023,80000.0,Argument,qa_engineer,contract,junior
job_61,22/11/2023,105000.0,Argument,devops,temporary,senior
job_62,21/12/2023,135000.0,Argument,software_engineer,freelance,mid
job_63,30/10/2023,60000.0,Argument,software_engineer,freelance,principal
job_64,29/10/2023,60000.0,Argument,backend,temporary,mid
job_65,09/10/2023,,Argument,devops,temporary,lead
job_66,02/12/2023,40000.0,Argument,fullstack,contract,senior
job_67,07/12/2023,60000.0,Argument,frontend,freelance,entry
job_68,21/12/2023,80000.0,Argument,data_scientist,contract,junior
job_69,30/12/2023,80000.0,Argument,backend,permanent,entry
job_70,12/12/2023,,QArea,product_manager,temporary,entry
job_71,03/11/2023,135000.0,HZF,product_manager,contract,lead
job_72,07/10/2023,40000.0,Dev.Pro,designer,permanent,entry
job_73,17/12/2023,105000.0,Dev.Pro,ml_engineer,permanent,junior
job_74,27/11/2023,40000.0,Automat-IT,qa_engineer,contract,senior
job_75,03/11/2023,105000.0,Dev.Pro,fullstack,temporary,lead
job_76,25/10/2023,135000.0,zhuko.net,backend,temporary,principal
job_77,24/10/2023,,AOG.jobs,product_manager,contract,junior
job_78,11/11/2023,40000.0,Playtika,product_manager,freelance,entry
job_79,10/10/2023,105000.0,RecruitGarden,fullstack,freelance,principal
job_80,13/11/2023,105000.0,SkillSquare,designer,permanent,principal
job_81,19/10/2023,135000.0,Twin Win Games,qa_engineer,contract,entry
job_82,07/10/2023,60000.0,Don't Panic Recruitment,backend,temporary,principal
job_83,08/10/2023,135000.0,Art2Hire,qa_engineer,freelance,lead
job_84,03/11/2023,135000.0,Innovecs,devops,contract,mid
job_85,28/10/2023,135000.0,508block,backend,permanent,lead
job_86,19/10/2023,,Nexocode,product_manager,freelance,mid
job_87,04/12/2023,135000.0,hue&machine,devops,freelance,lead
job_88,30/12/2023,60000.0,Blackwood Games,product_manager,freelance,mid
job_89,30/11/2023,60000.0,Luxoft,data_scientist,permanent,mid
job_90,15/10/2023,80000.0,Luxoft,devops,temporary,lead
job_91,21/11/2023,,Visartech inc.,ml_engineer,freelance,lead
job_92,15/12/2023,60000.0,Merge Development,ml_engineer,temporary,principal
job_93,26/11/2023,105000.0,Code Artworks Ltd.,software_engineer,contract,junior
job_94,17/11/2023,40000.0,Datarob,qa_engineer,permanent,senior
job_95,31/12/2023,60000.0,Uppeople,product_manager,freelance,entry
job_96,06/11/2023,105000.0,Captain Growth,product_manager,freelance,senior
job_97,09/11/2023,80000.0,RubyPlay,ml_engineer,freelance,entry
job_98,19/11/2023,40000.0,Perion,backend,contract,principal
job_99,24/11/2023,105000.0,Playtika,ml_engineer,permanent,principal
job_100,22/11/2023,60000.0,Twin Win Games,software_engineer,contract,entry
job_101,21/11/2023,,Arrible,frontend,permanent,senior
job_102,03/11/2023,40000.0,SciPlay,ml_engineer,temporary,principal
job_103,25/12/2023,105000.0,Digicode,fullstack,temporary,entry
job_104,13/12/2023,60000.0,Platipus,qa_engineer,temporary,lead
job_105,11/12/2023,40000.0,GamePoint,qa_engineer,freelance,lead
job_106,20/12/2023,,CLOVERTECH,qa_engineer,permanent,senior
job_107,13/10/2023,80000.0,TimelyCode,frontend,contract,principal
job_108,05/10/2023,105000.0,EveryMatrix,software_engineer,contract,senior
job_109,09/12/2023,,Leap Gaming,fullstack,temporary,senior
job_110,11/10/2023,105000.0,Skywind Group,product_manager,contract,junior
job_111,15/11/2023,40000.0,Wow IT,fullstack,freelance,lead
job_112,18/11/2023,60000.0,N-iX,qa_engineer,temporary,senior
job_113,19/10/2023,135000.0,Program-Ace,backend,freelance,entry
job_114,20/12/2023,80000.0,WebcentrIQ,devops,contract,principal
job_115,25/11/2023,80000.0,Red Zebra,fullstack,freelance,principal
job_116,08/12/2023,105000.0,Clover.Tech,designer,freelance,principal
job_117,06/10/2023,60000.0,Onseo,data_scientist,contract,mid
job_118,09/12/2023,105000.0,Neogames,frontend,permanent,junior
job_119,16/11/2023,105000.0,YozmaTech,fullstack,temporary,junior
job_120,13/12/2023,80000.0,PlayQ,backend,permanent,entry
job_121,15/11/2023,40000.0,Onseo,software_engineer,contract,principal
job_122,03/11/2023,40000.0,Stakelogic,fullstack,contract,senior
job_123,13/11/2023,135000.0,SD Solutions,ml_engineer,freelance,junior
