Job,skillUri
job_0,node
job_0,unity
job_0,blockchain
job_0,r
job_1,api
job_1,sql
job_1,c#
job_1,react
job_1,rest
job_1,r
job_1,angular
job_1,microservices
job_2,sql
job_2,flask
job_2,php
job_2,c#
job_2,react
job_2,java
job_2,rest
job_2,typescript
job_2,r
job_2,python
job_3,unity
job_3,rest
job_3,r
job_4,r
job_5,javascript
job_5,sql
job_5,php
job_5,java
job_5,git
job_5,r
job_5,vue
job_6,r
job_7,r
job_7,git
job_8,agile
job_8,r
job_9,sql
job_9,r
job_10,scala
job_10,sql
job_10,kubernetes
job_10,docker
job_10,r
job_10,tensorflow
job_10,pytorch
job_10,python
job_11,javascript
job_11,java
job_11,node
job_11,r
job_11,spring
job_11,c++
job_11,python
job_12,jira
job_12,r
job_12,sql
job_12,git
job_13,api
job_13,sql
job_13,flask
job_13,django
job_13,rest
job_13,r
job_13,aws
job_13,python
job_14,javascript
job_14,sql
job_14,postgresql
job_14,java
job_14,elasticsearch
job_14,ruby
job_14,r
job_14,aws
job_15,ansible
job_15,docker
job_15,react
job_15,git
job_15,devops
job_15,elasticsearch
job_15,r
job_15,terraform
job_15,aws
job_16,scala
job_16,sql
job_16,java
job_16,agile
job_16,kafka
job_16,r
job_16,spring
job_16,microservices
job_16,aws
job_16,jenkins
job_17,spring
job_17,scrum
job_17,graphql
job_17,sql
job_17,kubernetes
job_17,docker
job_17,agile
job_17,git
job_17,java
job_17,devops
job_17,rest
job_17,kafka
job_17,r
job_17,unity
job_17,microservices
job_17,aws
job_18,r
job_19,jira
job_19,r
job_20,api
job_20,r
job_21,rust
job_21,express
job_21,r
job_22,sql
job_22,r
job_22,python
job_23,api
job_23,javascript
job_23,machine learning
job_23,react
job_23,agile
job_23,git
job_23,java
job_23,node
job_23,rest
job_23,typescript
job_23,mongodb
job_23,r
job_24,scrum
job_24,agile
job_24,git
job_24,rest
job_24,r
job_24,linux
job_24,android
job_24,c++
job_25,r
job_26,android
job_26,linux
job_26,r
job_27,aws
job_27,sql
job_27,linux
job_27,r
job_28,unity
job_28,express
job_28,jira
job_28,r
job_29,unity
job_29,scala
job_29,r
job_30,r
job_31,rust
job_31,unity
job_31,r
job_32,javascript
job_32,scala
job_32,sql
job_32,java
job_32,jira
job_32,r
job_32,unity
job_33,javascript
job_33,scala
job_33,sql
job_33,java
job_33,jira
job_33,r
job_33,unity
job_34,unity
job_34,r
job_35,api
job_35,sql
job_35,r
job_35,angular
job_35,microservices
job_36,api
job_36,sql
job_36,graphql
job_36,rust
job_36,docker
job_36,django
job_36,r
job_36,unity
job_36,aws
job_36,python
job_37,sql
job_37,mongodb
job_37,r
job_37,aws
job_37,python
job_38,api
job_38,javascript
job_38,sql
job_38,java
job_38,devops
job_38,rest
job_38,ruby
job_38,r
job_38,express
job_38,unity
job_39,javascript
job_39,scala
job_39,ansible
job_39,react
job_39,java
job_39,devops
job_39,r
job_39,terraform
job_39,python
job_40,api
job_40,scala
job_40,c#
job_40,java
job_40,rest
job_40,kotlin
job_40,r
job_40,ci/cd
job_40,aws
job_41,api
job_41,scala
job_41,c#
job_41,java
job_41,rest
job_41,kotlin
job_41,r
job_41,ci/cd
job_41,aws
job_42,sql
job_42,scrum
job_42,nlp
job_42,agile
job_42,java
job_42,elasticsearch
job_42,mongodb
job_42,redis
job_42,r
job_42,aws
job_43,docker
job_43,r
job_43,microservices
job_43,ci/cd
job_43,aws
job_43,python
job_44,docker
job_44,r
job_44,microservices
job_44,ci/cd
job_44,aws
job_44,python
job_45,kubernetes
job_45,golang
job_45,agile
job_45,git
job_45,devops
job_45,node
job_45,blockchain
job_45,r
job_45,terraform
job_45,gitlab
job_46,sql
job_46,devops
job_46,linux
job_46,r
job_46,ci/cd
job_46,aws
job_47,ios
