item,itemLabel
http://www.wikidata.org/entity/Q2374,Civilization III
http://www.wikidata.org/entity/Q2377,Civilization IV
http://www.wikidata.org/entity/Q2385,Civilization V
http://www.wikidata.org/entity/Q2387,Commandos 2: Men of Courage
http://www.wikidata.org/entity/Q2440,Freedom Force vs the 3rd Reich
http://www.wikidata.org/entity/Q4104,Need for Speed: Shift
http://www.wikidata.org/entity/Q5766,VVVVVV
http://www.wikidata.org/entity/Q8529,100 Bullets
http://www.wikidata.org/entity/Q11168,Super Mario Bros.
http://www.wikidata.org/entity/Q12384,Donkey Kong
http://www.wikidata.org/entity/Q12395,The Legend of Zelda
http://www.wikidata.org/entity/Q13165,Death to Spies
http://www.wikidata.org/entity/Q13699,Stronghold: Crusader Extreme
http://www.wikidata.org/entity/Q17138,Uncharted 3: Drake's Deception
http://www.wikidata.org/entity/Q17146,Uncharted 2: Among Thieves
http://www.wikidata.org/entity/Q17150,Uncharted: Drake's Fortune
http://www.wikidata.org/entity/Q17452,Grand Theft Auto V
http://www.wikidata.org/entity/Q17724,Spectromancer
http://www.wikidata.org/entity/Q18940,Wolfenstein 3D
http://www.wikidata.org/entity/Q18951,Half-Life 2: Episode One
http://www.wikidata.org/entity/Q19419,Rappelz
http://www.wikidata.org/entity/Q19433,"Grand Theft Auto: London, 1961"
http://www.wikidata.org/entity/Q20420,Empire Earth
http://www.wikidata.org/entity/Q22986,Amnesia: The Dark Descent
http://www.wikidata.org/entity/Q23911,Magicland Dizzy
http://www.wikidata.org/entity/Q23992,Gunvalkyrie
http://www.wikidata.org/entity/Q24071,MotorStorm: Arctic Edge
http://www.wikidata.org/entity/Q24076,FinnWars
http://www.wikidata.org/entity/Q24170,Doki! Doki! Yūenchi: Crazy Land Daisakusen
http://www.wikidata.org/entity/Q24300,InFamous 2
http://www.wikidata.org/entity/Q24516,Fire Emblem: New Mystery of the Emblem
http://www.wikidata.org/entity/Q25680,Guardian Cross
http://www.wikidata.org/entity/Q26097,XCOM: Enemy Unknown
http://www.wikidata.org/entity/Q27107,DC Universe Online
http://www.wikidata.org/entity/Q27296,Bio Miracle Bokutte Upa
http://www.wikidata.org/entity/Q28226,Army Men: RTS
http://www.wikidata.org/entity/Q28258,Restricted Area
http://www.wikidata.org/entity/Q28276,Guardians
http://www.wikidata.org/entity/Q28362,Cossacks II: Napoleonic Wars
http://www.wikidata.org/entity/Q28418,Cossacks: European Wars
http://www.wikidata.org/entity/Q29715,Superman
http://www.wikidata.org/entity/Q31332,Wind: A Breath of Heart
http://www.wikidata.org/entity/Q31560,Forza Motorsport 4
http://www.wikidata.org/entity/Q31685,Spore Hero Arena
http://www.wikidata.org/entity/Q34852,Age of Empires II: The Age of Kings
http://www.wikidata.org/entity/Q34869,Age of Empires III
http://www.wikidata.org/entity/Q34920,Age of Empires Online
http://www.wikidata.org/entity/Q35407,Sonic the Hedgehog 2
http://www.wikidata.org/entity/Q35627,Sonic the Hedgehog 2
http://www.wikidata.org/entity/Q37115,Sonic the Hedgehog
http://www.wikidata.org/entity/Q37123,Sonic the Hedgehog
http://www.wikidata.org/entity/Q37229,Pekka the Rooster 2
http://www.wikidata.org/entity/Q40166,Assassin's Creed III
http://www.wikidata.org/entity/Q40177,Sonic & Knuckles
http://www.wikidata.org/entity/Q40627,Sly Cooper and the Thievius Raccoonus
http://www.wikidata.org/entity/Q44346,James Pond 2: Codename: RoboCod
http://www.wikidata.org/entity/Q44373,Nintendo Land
http://www.wikidata.org/entity/Q44462,Animal Crossing: New Leaf
http://www.wikidata.org/entity/Q44896,Stronghold
http://www.wikidata.org/entity/Q45028,Halo 4
http://www.wikidata.org/entity/Q48251,AntMe!
http://www.wikidata.org/entity/Q48721,Curiosity – What's Inside the Cube?
http://www.wikidata.org/entity/Q49607,The Elder Scrolls IV: Oblivion
http://www.wikidata.org/entity/Q49740,Minecraft
http://www.wikidata.org/entity/Q52053,Star Heritage 1: The Black Cobra
http://www.wikidata.org/entity/Q52058,The Neverhood
http://www.wikidata.org/entity/Q54297,Star Wars: Rogue Squadron
http://www.wikidata.org/entity/Q54304,Star Wars Rogue Squadron III: Rebel Strike
http://www.wikidata.org/entity/Q54307,Star Wars Rogue Squadron II: Rogue Leader
http://www.wikidata.org/entity/Q54317,Star Wars
http://www.wikidata.org/entity/Q54319,Star Wars
http://www.wikidata.org/entity/Q54320,Star Wars
http://www.wikidata.org/entity/Q54322,Super Star Wars
http://www.wikidata.org/entity/Q54323,Star Wars Arcade
http://www.wikidata.org/entity/Q54325,The Empire Strikes Back
http://www.wikidata.org/entity/Q54327,Star Wars: The Empire Strikes Back
http://www.wikidata.org/entity/Q54329,Star Wars: The Empire Strikes Back
http://www.wikidata.org/entity/Q54330,Super Star Wars: The Empire Strikes Back
http://www.wikidata.org/entity/Q54331,Return of the Jedi: Death Star Battle
http://www.wikidata.org/entity/Q54334,Star Wars: Return of the Jedi
http://www.wikidata.org/entity/Q54335,Super Star Wars: Return of the Jedi
http://www.wikidata.org/entity/Q54338,Star Wars: Episode I – The Phantom Menace
http://www.wikidata.org/entity/Q54839,Star Wars Episode I: Jedi Power Battles
http://www.wikidata.org/entity/Q54840,Star Wars Episode I: Battle for Naboo
http://www.wikidata.org/entity/Q54842,Star Wars Episode I: Obi-Wan's Adventures
http://www.wikidata.org/entity/Q54843,Star Wars: Obi-Wan
http://www.wikidata.org/entity/Q54844,Star Wars: Episode II – Attack of the Clones
http://www.wikidata.org/entity/Q54845,Star Wars: The New Droid Army
http://www.wikidata.org/entity/Q54846,Star Wars: Episode III – Revenge of the Sith
http://www.wikidata.org/entity/Q54847,Star Wars: The Clone Wars – Lightsaber Duels
http://www.wikidata.org/entity/Q54848,Star Wars: The Clone Wars – Jedi Alliance
http://www.wikidata.org/entity/Q54850,Star Wars: The Clone Wars – Republic Heroes
http://www.wikidata.org/entity/Q54851,Clone Wars Adventures
http://www.wikidata.org/entity/Q54853,Star Wars: X-Wing
http://www.wikidata.org/entity/Q54854,Angry Birds Star Wars
http://www.wikidata.org/entity/Q54856,Star Wars Trilogy: Apprentice of the Force
http://www.wikidata.org/entity/Q54859,Star Wars: Battlefront
http://www.wikidata.org/entity/Q54864,Star Wars Battlefront: Renegade Squadron
http://www.wikidata.org/entity/Q54865,Star Wars: Battlefront II
http://www.wikidata.org/entity/Q54870,Star Wars Battlefront: Elite Squadron
http://www.wikidata.org/entity/Q55214,Lego Star Wars: The Complete Saga
http://www.wikidata.org/entity/Q55216,Lego Star Wars: The Video Game
